Nazwisko,Wypowiedz
Bosak,Analizując problemy na styku kształcenia uniwersyteckiego i rynku pracy dochodzę do dwóch wniosków: 1) Jakkolwiek by nie modyfikować szkolnictwa wyższego  to i tak nie rozwiąże ono problemu zbyt małego popytu na pracę w skali całej gospodarki. 2) Problem wyboru „niepotrzebnych” rynkowo kierunków kształcenia nie rozwiąże się bez wprowadzenia przynajmniej niewielkich opłat za wszystkie studia.
Bosak,Były członek zespołu doradców Tuska  człowiek  któremu PO proponowała funkcję ministra finansów  były prezes zagranicznego banku  człowiek bez żadnego samodzielnego doświadczenia politycznego  który entuzjastycznie witał w Polsce międzynarodową finansjerę z JP Morgan i popierał oczekiwany przez międzynarodową finansjerę traktat CETA  człowiek który ciągle nie wyklucza w swych wypowiedziach wepchnięcia Polski do strefy euro. (…) To jest zła zmiana dla Polski. Mateusz Morawiecki być może ma kwalifikacje na bankiera czy nawet euroentuzjastycznego ministra finansów  ale nie powinien zostać premierem Rzeczypospolitej.
Bosak,Chciałbym  aby gen. Jaruzelski w wariancie minimum zniknął z życia publicznego  żeby formacje lewicowe typu SLD nie robiły sobie z niego wizerunkowej podpory  a wariant maksimum  żeby został sprawiedliwie osądzony za wszystkie zbrodnie  jakie miały miejsce w okresie jego rządów.
Bosak,Cieszymy się  że udało nam się zablokować obchodzenie urodzin Jaruzelskiego w polskim parlamencie. Cieszymy się też  że przyszło wiele ludzi  aby wyrazić swój sprzeciw wobec robienia wydarzenia publicznego i politycznego z urodzin ostatniego przywódcy komunizm
Bosak,Cymański postuluje nowe progi podatkowe  nowe podatki  nowe ulgi i nowe świadczenia społ. Mamy wreszcie w Polsce prawdziwą socjaldemokrację!
Bosak,Dla radykalnej lewicy każdy człowiek o poglądach konserwatywnych czy narodowych  przywiązany do takich wartości jak Bóg  Honor i Ojczyzna jest faszystą. Niestety  słuchając wypowiedzi przeciwników ideowych  słyszę to słowo w ich ustach tak często  że można się z czasem przyzwyczaić do takiej etykietki  a to jest bardzo niebezpieczne.
Bosak,Gowin zdymisjonowany. Oto nagroda za reformatorską pracę  samodzielność
Bosak,Kandydatka na doradcę premiera to osoba kompetentna i rozsądna  pozbawiona ekscentrycznych zachowań  dziwią mnie agresywne sądy o jej radykalizmie. Być może będzie przeciwwagą dla tej szalonej feministki Kluzik-Rostkowskiej  wiceminister pracy.
Bosak,Marsz Niepodległości wbrew wszystkiemu  co się mówi  i wbrew wszystkim politycznym interpretacjom w pierwszej kolejności miał być i jest wielką manifestacją patriotyczną. Oczywiście za inicjatywą jego organizacji stały środowiska neoendeckie takie jak Młodzież Wszechpolska i ONR  ale otworzyły się one na inne środowiska prawicowe i konserwatywne. Nie chodzi w nim jedynie o promowanie idei narodowych. Mimo że kończył się pod pomnikiem Romana Dmowskiego  nie chodziło nawet o jakieś nachalne wyeksponowanie jego postaci kosztem innego z ojców polskiej niepodległości Józefa Piłsudskiego  koło którego pomnika zresztą też marsz przeszedł. Chodziło głównie o uczczenie Święta Niepodległości w sposób żywy  niezależnie od rządowych inicjatyw i przemówień. Chodziło o pokazanie  że można być dumnym z bycia Polakiem  z naszej tradycji  z naszych barw narodowych
Bosak,Mogę w ten sposób pomóc komuś przeżyć czy wyzdrowieć
